NUMBER OF CYCLIST KILLED,ON STREET NAME,CRASHES,NUMBER OF PERSONS KILLED,NUMBER OF MOTORIST INJURED,ZIP CODE,LONGITUDE,NUMBER OF CYCLIST INJURED,NUMBER OF MOTORIST KILLED,CROSS STREET NAME,NUMBER OF PEDESTRIANS KILLED,NUMBER OF PEDESTRIANS INJURED,LATITUDE,NUMBER OF PERSONS INJURED,BOROUGH,OFF STREET NAME,YELP_BAR,YELP_DRINK,YELP_FOOD,YELP_MUSIC,YELP_SHOW,FOUR_SQUARE_DRINK,FOUR_SQUARE_FOOD
0,LEXINGTON AVENUE,32,0,1,10017,-73.97555799999998,0,0,LEXINGTON AVENUE,0,2,40.7521167,3,MANHATTAN,,2,4,10,1,2,0,449
0,CLASSON AVENUE,32,0,2,11205,-73.9602915,3,0,CLASSON AVENUE,0,7,40.690347100000004,12,BROOKLYN,,1,1,6,1,2,0,0
0,65TH PLACE,32,0,10,11378,-73.89968329999998,0,0,,0,0,40.7400796,10,QUEENS,,0,0,0,0,0,0,0
0,NORTH CONDUIT AVENUE,32,0,6,11420,-73.80424520000003,0,0,NORTH CONDUIT AVENUE,0,0,40.6668568,6,QUEENS,,0,0,0,0,0,0,0
0,WEST 55 STREET,32,0,0,10019,-73.99235,0,0,WEST 55 STREET,0,4,40.7690047,4,MANHATTAN,,1,0,1,0,2,0,0
0,ADAM CLAYTON POWELL BOULEVARD,32,0,10,10030,-73.9418441,0,0,WEST 139 STREET,0,0,40.8178464,10,MANHATTAN,,1,1,3,1,2,0,0
0,,32,0,3,11234,-73.908153,0,0,,0,0,40.5956527,3,KINGS,,0,0,0,0,0,0,0
0,DEGRAW STREET,32,0,1,11217,-73.98218979999999,2,0,DE GRAW STREET,0,0,40.6786763,3,BROOKLYN,,1,1,3,1,2,0,1
0,SHEFFIELD AVENUE,32,0,2,11207,-73.8978448,1,0,SHEFFIELD AVENUE,0,1,40.6756735,4,BROOKLYN,,0,0,1,0,1,0,0
0,CASTLE HILL AVENUE,32,0,2,10462,-73.8508718,0,0,CASTLE HILL AVENUE,0,1,40.831211100000004,3,BRONX,,2,2,6,1,1,0,0
0,WEST 254 STREET,32,0,1,10471,-73.89687990000002,0,0,WEST 254 STREET,0,3,40.9010398,4,BRONX,,0,0,1,0,0,0,0
0,EAST TREMONT AVENUE,32,0,12,10457,-73.9032792,0,0,EAST TREMONT AVENUE,0,3,40.84869310000001,15,BRONX,,0,0,0,0,0,0,0
0,LEXINGTON AVENUE,32,0,2,10128,-73.95280109999999,0,0,LEXINGTON AVENUE,0,2,40.783309100000004,4,MANHATTAN,,3,3,8,4,4,0,0
0,WEST 56 STREET,32,0,2,10019,-73.99189140000001,1,0,WEST 56 STREET,0,0,40.7696387,3,MANHATTAN,,1,1,2,2,1,0,0
