NUMBER OF CYCLIST KILLED,ON STREET NAME,CRASHES,NUMBER OF PERSONS KILLED,NUMBER OF MOTORIST INJURED,ZIP CODE,LONGITUDE,NUMBER OF CYCLIST INJURED,NUMBER OF MOTORIST KILLED,CROSS STREET NAME,NUMBER OF PEDESTRIANS KILLED,NUMBER OF PEDESTRIANS INJURED,LATITUDE,NUMBER OF PERSONS INJURED,BOROUGH,OFF STREET NAME,YELP_BAR,YELP_DRINK,YELP_FOOD,YELP_MUSIC,YELP_SHOW,FOUR_SQUARE_DRINK,FOUR_SQUARE_FOOD
0,FLATBUSH AVENUE EXTENSION,421,1,52,11201,-73.9845292,3,1,FLATBUSH AVENUE EXTENSION,0,7,40.696034600000004,62,BROOKLYN,,0,0,0,0,0,0,0
0,WEST 42 STREET,324,0,10,10036,-73.9897922,4,0,WEST 42 STREET,0,30,40.7572323,44,MANHATTAN,,16,19,20,11,14,0,278
0,QUEENSBORO BRIDGE APPROACH,322,0,24,10022,-73.9643142,3,0,EAST 59 STREET,0,9,40.7606005,36,MANHATTAN,,2,1,2,3,4,0,0
0,PENNSYLVANIA AVENUE,303,0,114,11207,-73.89062290000003,3,0,PENNSYLVANIA AVENUE,0,6,40.658577799999996,123,BROOKLYN,,0,1,2,0,1,0,0
0,PENNSYLVANIA AVENUE,289,0,82,11207,-73.89685329999998,1,0,PENNSYLVANIA AVENUE,0,8,40.675735700000004,91,BROOKLYN,,0,0,0,1,1,0,0
0,WOODHAVEN BOULEVARD,254,0,34,11373,-73.8703694,2,0,WOODHAVEN BOULEVARD,0,6,40.7334973,42,QUEENS,,0,1,3,1,1,0,1407
0,DELANCEY STREET,249,0,13,10012,-73.9940403,6,0,DELANCEY STREET,0,8,40.7203211,27,MANHATTAN,,3,4,5,3,3,0,146
0,WEST 34 STREET,246,0,17,10001,-73.9906233,6,0,WEST 34 STREET,0,21,40.7509908,44,MANHATTAN,,9,11,20,4,2,0,371
0,WEST 42 STREET,245,0,11,10036,-73.98694809999998,4,0,WEST 42 STREET,0,21,40.75603529999999,36,MANHATTAN,,3,4,6,4,7,0,221
0,WEST 42 STREET,243,0,15,10036,-73.9926328,8,0,WEST 42 STREET,0,16,40.7584292,39,MANHATTAN,,12,20,20,5,5,0,213
0,EAST 57 STREET,235,0,10,10022,-73.967462,2,0,EAST 57 STREET,0,10,40.76022260000001,22,MANHATTAN,,4,4,7,1,14,0,6
0,EAST 57 STREET,230,0,11,10022,-73.9652931,2,0,EAST 57 STREET,0,8,40.759308000000004,21,MANHATTAN,,7,7,14,2,1,0,14391
0,BRUCKNER BOULEVARD,227,0,42,10459,-73.8906752,2,0,HUNTS POINT AVENUE,0,25,40.820189,69,BRONX,,0,0,1,0,0,0,0
0,EAST HOUSTON STREET,226,0,22,10012,-73.9926041,3,0,EAST HOUSTON STREET,0,8,40.7241363,33,MANHATTAN,,4,6,8,2,2,0,73970
0,5,220,0,80,10460,-73.8732802,0,0,,0,0,40.8380117,80,BRONX,,0,0,0,0,0,0,0
0,EAST 96 STREET,215,0,9,10128,-73.9447234,3,0,EAST 96 STREET,0,7,40.78324779999999,19,MANHATTAN,,0,0,0,0,0,0,316
0,EAST 59 STREET,214,0,8,10022,-73.9665842,1,0,EAST 59 STREET,0,8,40.761550799999995,17,MANHATTAN,,4,8,10,2,8,0,0
0,DR KAZIMIROFF BOULEVARD,211,0,55,10458,-73.88079259999998,4,0,KAZIMIROFF BOULEVARD,0,9,40.857128499999995,68,BRONX,,0,1,1,0,1,0,0
0,WEST 34 STREET,206,0,11,10001,-73.9934636,5,0,WEST 34 STREET,0,22,40.752190399999996,38,MANHATTAN,,8,9,14,4,3,0,79
0,EAST 34 STREET,206,0,15,10016,-73.9758819,6,0,EAST 34 STREET,0,12,40.74478,33,MANHATTAN,,7,6,11,1,1,0,339
0,TILLARY STREET,205,0,37,11201,-73.98876290000003,5,0,TILLARY STREET,0,3,40.696197,45,BROOKLYN,,0,0,0,0,0,0,0
0,WEST 40 STREET,203,0,6,10018,-73.99924200000002,0,0,WEST 40 STREET,0,3,40.7595273,9,MANHATTAN,,0,0,0,0,0,0,0
0,ATLANTIC AVENUE,201,0,59,11208,-73.8774282,2,0,ATLANTIC AVENUE,0,9,40.680015000000004,70,BROOKLYN,,0,1,1,0,1,0,0
0,WEST 42 STREET,201,0,5,10036,-73.9954735,3,0,WEST 42 STREET,0,13,40.759626000000004,21,MANHATTAN,,3,4,4,2,4,0,7839
0,AVENUE OF THE AMERICAS,199,0,11,10036,-73.98411850000002,3,0,AVENUE OF THE AMERICAS,0,10,40.7548409,24,MANHATTAN,,5,7,10,4,2,0,1623
0,WEST 42 STREET,198,0,23,10036,-73.9983142,2,0,WEST 42 STREET,0,9,40.76082279999999,34,MANHATTAN,,0,0,3,0,0,0,1549
0,EASTERN PARKWAY,196,0,39,11213,-73.93112009999999,5,0,EASTERN PARKWAY,0,35,40.66879779999999,79,BROOKLYN,,0,1,6,0,0,0,0
0,BROOKLYN-QUEENS EXPRESSWAY,196,0,41,11201,-73.9896203,0,0,,0,1,40.7014547,42,KINGS,,0,1,1,0,5,0,0
0,EAST 36 STREET,195,0,6,10016,-73.9749359,5,0,EAST 36 STREET,0,5,40.7460781,16,MANHATTAN,,1,2,2,0,4,0,339
0,CANAL STREET,194,0,16,10013,-74.00188309999999,2,0,CANAL STREET,0,8,40.7193963,26,MANHATTAN,,1,1,6,2,1,0,8
0,FLATBUSH AVENUE,194,2,35,11217,-73.9774579,8,0,ATLANTIC AVENUE,2,5,40.6840525,48,BROOKLYN,,3,6,10,3,2,0,0
0,DELANCEY STREET,188,0,28,10002,-73.9928968,8,0,CHRYSTIE STREET,0,17,40.7199725,53,MANHATTAN,,11,10,4,8,7,0,9
0,EAST 37 STREET,187,0,10,10016,-73.9767362,0,0,EAST 37 STREET,0,8,40.7476292,18,MANHATTAN,,7,9,11,3,4,0,377
0,EAST 63 STREET,186,0,5,10065,-73.96251509999998,0,0,EAST 63 STREET,0,2,40.7631141,7,MANHATTAN,,1,3,6,1,7,0,0
0,WEST 31 STREET,185,0,6,10001,-73.9948425,3,0,WEST 31 STREET,0,2,40.7502939,11,MANHATTAN,,10,12,15,7,7,0,7208
0,EAST 125 STREET,184,0,47,10035,-73.933575,0,0,EAST 125 STREET,0,8,40.8027515,55,MANHATTAN,,0,0,0,0,0,0,160
0,EMPIRE BOULEVARD,184,0,68,11225,-73.96244870000002,3,0,EMPIRE BOULEVARD,0,9,40.6631828,80,BROOKLYN,,0,0,0,0,0,0,0
0,EXTERIOR STREET,184,0,46,10451,-73.9313928,0,0,EAST 138 STREET,0,5,40.8137456,51,BRONX,,0,0,0,0,0,0,0
0,ATLANTIC AVENUE,182,0,38,11216,-73.95298690000001,9,0,ATLANTIC AVENUE,0,11,40.678723,58,BROOKLYN,,0,0,0,0,0,0,0
0,PENNSYLVANIA AVENUE,179,0,93,11207,-73.89747690000002,1,0,PENNSYLVANIA AVENUE,0,1,40.6781627,95,BROOKLYN,,0,0,2,0,1,0,0
0,EAST 34 STREET,178,0,20,10016,-73.9781227,2,0,EAST 34 STREET,0,14,40.7457274,36,MANHATTAN,,17,17,20,3,2,0,49
0,AVENUE OF THE AMERICAS,177,0,9,10019,-73.97719599999998,4,0,AVENUE OF THE AMERICAS,0,9,40.764322899999996,22,MANHATTAN,,2,6,11,4,1,0,513
0,HILLSIDE AVENUE,177,0,38,11427,-73.817418,0,0,,0,0,40.7044959,38,QUEENS,,0,0,0,0,0,0,0
0,LAFAYETTE STREET,177,0,14,10013,-74.0005303,3,0,LAFAYETTE STREET,0,6,40.7184302,23,MANHATTAN,,3,9,20,5,12,11,19
0,AMSTERDAM AVENUE,175,0,12,10027,-73.9562587,3,0,AMSTERDAM AVENUE,0,32,40.8133899,47,MANHATTAN,,3,3,11,1,2,0,0
0,ATLANTIC AVENUE,175,0,81,11233,-73.90808990000002,2,0,EASTERN PARKWAY,0,5,40.6761899,88,BROOKLYN,,0,0,0,0,0,0,0
0,BAYCHESTER AVENUE,173,0,47,10475,-73.8317333,0,0,BAYCHESTER AVENUE,0,16,40.8687708,63,BRONX,200 BARTOW AVE PARKING LOT,0,1,1,0,1,0,0
0,WEST 42 STREET,172,0,6,10018,-73.9939358,2,0,WEST 42 STREET,0,3,40.7589782,11,MANHATTAN,,3,6,1,3,11,0,7
0,WEST FORDHAM ROAD,171,0,46,10453,-73.9127392,0,0,MAJOR DEEGAN EXPRESSWAY,0,1,40.86186420000001,47,BRONX,,0,0,0,0,0,0,0
0,JOE DIMAGGIO HIGHWAY,170,0,20,10036,-74.0011515,1,0,TIANANMEN SQUARE CORNER,0,3,40.762025,24,MANHATTAN,,1,1,1,1,2,0,0
1,EAST GUN HILL ROAD,169,2,40,10467,-73.87159799999998,2,1,EAST GUN HILL ROAD,0,1,40.878645299999995,43,BRONX,,0,0,1,0,1,0,0
0,OCEAN PARKWAY,168,1,40,11230,-73.9704715,7,1,OCEAN PARKWAY,0,4,40.6241708,51,BROOKLYN,,0,0,0,0,0,0,0
0,WEST 41 STREET,166,0,13,10036,-73.9959428,0,0,WEST 41 STREET,0,4,40.758981,17,MANHATTAN,,1,2,4,3,5,0,58
0,DELANCEY STREET,165,0,15,10002,-73.9882,4,0,DELANCEY STREET,0,14,40.7185558,33,MANHATTAN,,2,5,20,1,8,0,3
0,WEST 42 STREET,165,0,13,10017,-73.9808885,5,0,WEST 42 STREET,0,21,40.753481799999996,39,MANHATTAN,,5,10,11,2,1,0,37
0,WEST 40 STREET,165,0,4,10018,-73.9907272,5,0,WEST 40 STREET,0,9,40.7559505,18,MANHATTAN,,9,16,20,6,5,0,4178
0,AVENUE OF THE AMERICAS,163,0,13,10011,-73.99683900000002,4,0,AVENUE OF THE AMERICAS,0,22,40.7373607,39,MANHATTAN,,12,14,20,1,2,0,1227
0,WEST 47 STREET,163,0,3,10036,-73.98461929999998,1,0,WEST 47 STREET,0,17,40.7591997,21,MANHATTAN,,12,11,15,10,7,0,20
0,EAST 62 STREET,162,0,6,10065,-73.95835090000001,0,0,EAST 62 STREET,0,8,40.760535299999994,14,MANHATTAN,,1,1,1,1,1,0,0
1,WEST 125 STREET,160,2,24,10027,-73.94548329999998,4,1,WEST 125 STREET,0,10,40.807772299999996,38,MANHATTAN,,2,1,12,3,1,0,370
0,EAST 57 STREET,159,0,9,10022,-73.9707499,5,0,EAST 57 STREET,0,6,40.7616096,20,MANHATTAN,,3,3,4,1,1,0,0
0,EAST 14 STREET,159,0,6,10003,-73.98717990000002,5,0,EAST 14 STREET,0,22,40.733292299999995,33,MANHATTAN,,4,6,12,2,6,0,557
0,EAST 57 STREET,159,0,9,10019,-73.9739693,8,0,EAST 57 STREET,0,6,40.762966299999995,23,MANHATTAN,,3,4,7,1,1,0,0
0,WEST HOUSTON STREET,158,0,16,10012,-73.996771,9,0,WEST HOUSTON STREET,0,16,40.725432,41,MANHATTAN,,3,4,9,7,3,0,3020
0,WEST 34 STREET,158,0,7,10001,-73.9991446,0,0,WEST 34 STREET,0,11,40.754584,18,MANHATTAN,,2,4,7,2,5,0,2834
0,VARICK STREET,158,0,39,10013,-74.006299,4,0,VARICK STREET,0,12,40.722549900000004,55,MANHATTAN,,0,0,0,0,1,0,844
0,FLATBUSH AVENUE,158,0,50,11234,-73.9078755,0,0,SHORE PARKWAY,0,4,40.596511299999996,54,BROOKLYN,,0,0,0,0,0,0,0
0,AVENUE OF THE AMERICAS,157,0,15,10010,-73.9928041,7,0,AVENUE OF THE AMERICAS,0,18,40.7429104,40,MANHATTAN,,7,7,12,1,11,0,1792
0,BUSHWICK AVENUE,157,1,34,11207,-73.90262159999997,4,0,BUSHWICK AVENUE,1,3,40.6806649,41,BROOKLYN,,0,0,0,0,0,0,0
0,ATLANTIC AVENUE,157,0,38,11213,-73.9303181,3,0,ATLANTIC AVENUE,0,9,40.677413200000004,50,BROOKLYN,,0,0,0,0,0,0,0
0,EAST 14 STREET,156,0,10,10003,-73.9936167,10,0,WEST 14 STREET,0,14,40.7360047,34,MANHATTAN,,2,3,7,1,1,0,222
0,EASTERN PARKWAY,156,0,57,11213,-73.9256052,2,0,EASTERN PARKWAY,0,12,40.6685062,71,BROOKLYN,,0,0,0,0,0,0,0
0,EAST 60 STREET,156,0,6,10022,-73.9638843,1,0,EAST 60 STREET,0,3,40.7612344,10,MANHATTAN,,2,3,3,2,4,0,61
0,WEST 44 STREET,155,0,7,10036,-73.9888427,2,0,WEST 44 STREET,0,10,40.7585332,19,MANHATTAN,,12,13,19,5,7,0,352
0,QUEENS BOULEVARD,155,0,20,11373,-73.87767020000003,3,0,QUEENS BOULEVARD,0,13,40.7367523,36,QUEENS,,1,3,7,3,5,0,28
0,WOODHAVEN BOULEVARD,153,0,53,11374,-73.8597598,0,0,METROPOLITAN AVENUE,0,5,40.7118451,58,QUEENS,,0,0,0,0,0,0,0
0,WEST SIDE HIGHWAY,153,0,13,10006,-74.01482469999998,0,0,WEST SIDE HIGHWAY,0,2,40.7098244,15,MANHATTAN,,2,2,3,1,1,0,1
0,LONG ISLAND EXPRESSWAY,153,0,39,11362,-73.7431647,0,0,,0,0,40.7545534,39,QUEENS,,0,0,0,0,0,0,0
0,FLATBUSH AVENUE,153,0,21,11226,-73.958708,2,0,FLATBUSH AVENUE,0,19,40.6503881,42,BROOKLYN,,0,1,4,1,1,0,255
0,JOE DIMAGGIO HIGHWAY,152,0,39,10001,-74.004927,1,0,JOE DIMAGGIO HIGHWAY,0,2,40.7570213,42,MANHATTAN,,0,0,0,0,0,0,0
0,FDR DRIVE,151,0,36,10002,-73.9981083,0,0,,0,0,40.708766600000004,36,NEW,,0,0,0,1,0,0,0
0,EAST FORDHAM ROAD,151,0,17,10458,-73.8913807,4,0,EAST FORDHAM ROAD,0,22,40.8617006,43,BRONX,,2,0,7,2,3,0,0
0,EAST 42 STREET,151,0,14,10017,-73.97220229999998,3,0,EAST 42 STREET,0,19,40.749824,36,MANHATTAN,,5,6,9,2,2,0,630
0,WEST 41 STREET,150,1,6,10036,-73.9930696,2,0,WEST 41 STREET,1,6,40.75782810000001,14,MANHATTAN,,4,9,8,2,2,0,213
0,NORTHERN BOULEVARD,150,0,39,11101,-73.93739649999998,6,0,NORTHERN BOULEVARD,0,2,40.748915600000004,47,QUEENS,,0,0,1,0,0,0,1
0,WEST 45 STREET,150,0,6,10036,-73.9855364,0,0,WEST 45 STREET,0,16,40.7579729,22,MANHATTAN,,5,6,9,8,8,0,42
0,AMSTERDAM AVENUE,149,0,37,10033,-73.9308839,1,0,AMSTERDAM AVENUE,0,9,40.8481201,47,MANHATTAN,,0,0,1,0,1,0,0
0,WOODHAVEN BOULEVARD,149,1,59,11416,-73.8460949,0,1,WOODHAVEN BOULEVARD,0,3,40.68424,62,QUEENS,,0,0,3,0,2,0,89
0,BROOKLYN-QUEENS EXPRESSWAY,148,0,40,11222,-73.94475759999997,0,0,,0,0,40.7197624,40,KINGS,,0,0,0,0,0,0,0
0,QUEENS BOULEVARD,147,0,44,11101,-73.9344002,5,0,QUEENS BOULEVARD,0,7,40.7460347,56,QUEENS,,0,0,0,0,0,0,0
0,WEST 36 STREET,147,0,3,10018,-73.9925287,0,0,WEST 36 STREET,0,9,40.7534749,12,MANHATTAN,,6,11,16,8,12,0,5837
0,60 STREET,147,0,117,11220,-74.02042,2,0,60 STREET,0,6,40.642057799999996,125,BROOKLYN,,0,0,0,0,0,0,0
0,WOODHAVEN BOULEVARD,146,0,38,11417,-73.8446429,0,0,WOODHAVEN BOULEVARD,0,2,40.6807,40,QUEENS,,1,0,2,1,1,0,291
0,WEST 14 STREET,146,0,5,10011,-74.0025224,9,0,WEST 14 STREET,0,12,40.739751399999996,26,MANHATTAN,,7,9,9,3,3,0,14
0,WEST 33 STREET,146,0,8,10001,-73.9939473,1,0,WEST 33 STREET,0,3,40.7515235,12,MANHATTAN,,4,8,8,5,5,0,118
0,EAST 63 STREET,145,0,3,10065,-73.95790290000002,0,0,EAST 63 STREET,0,4,40.76118020000001,7,MANHATTAN,,0,0,0,0,1,0,0
0,QUEENS BOULEVARD,145,0,13,11101,-73.9335895,1,0,QUEENS BOULEVARD,0,5,40.74473320000001,19,QUEENS,,0,1,2,0,1,0,23
0,ATLANTIC AVENUE,144,0,28,11216,-73.94967740000001,2,0,NOSTRAND AVENUE,0,22,40.678455299999996,52,BROOKLYN,,3,5,6,1,1,0,0
0,EAST 58 STREET,144,0,6,10022,-73.96480179999998,4,0,EAST 58 STREET,0,4,40.7599831,14,MANHATTAN,,4,5,7,2,2,0,0
0,WEST 34 STREET,144,0,12,10016,-73.9845604,4,0,WEST 34 STREET,0,21,40.7484375,37,MANHATTAN,,2,5,10,3,4,0,113
0,LEXINGTON AVENUE,143,0,7,10017,-73.9760491,0,0,LEXINGTON AVENUE,0,13,40.7514416,20,MANHATTAN,,6,10,14,2,1,0,5218
0,DELANCEY STREET,143,0,36,10002,-73.9857652,10,0,DELANCEY STREET,0,3,40.7177239,49,MANHATTAN,,4,4,7,3,2,0,0
0,BRUCKNER BOULEVARD,142,0,31,10465,-73.84117940000002,0,0,BRUCKNER BOULEVARD,0,1,40.828519299999996,32,BRONX,,0,0,0,0,0,0,0
0,EAST 59 STREET,142,0,15,10019,-73.9730158,2,0,EAST 59 STREET,0,12,40.7642781,29,MANHATTAN,,5,3,4,3,3,0,20089
0,ATLANTIC AVENUE,142,0,27,11217,-73.978388,2,0,ATLANTIC AVENUE,0,3,40.68442320000001,32,BROOKLYN,,1,3,5,1,1,0,1842
0,WEST 37 STREET,141,0,17,10018,-73.9949215,1,0,WEST 37 STREET,0,9,40.75529210000001,27,MANHATTAN,,6,11,19,1,1,0,751
0,ROCKAWAY BOULEVARD,141,1,52,11434,-73.7738282,0,0,ROCKAWAY BOULEVARD,1,1,40.659650899999995,53,QUEENS,,0,0,1,0,0,0,0
0,EASTERN PARKWAY,141,0,42,11216,-73.9505022,4,0,NOSTRAND AVENUE,0,6,40.669864600000004,52,BROOKLYN,,0,1,2,0,2,0,0
0,AVENUE OF THE AMERICAS,141,0,12,10001,-73.9877686,3,0,AVENUE OF THE AMERICAS,0,20,40.7497883,35,MANHATTAN,,3,4,11,6,1,0,136
0,ERSKINE STREET,141,0,22,11239,-73.8667311,1,0,ERSKINE STREET,0,10,40.6528929,33,BROOKLYN,,0,0,0,0,0,0,0
0,EAST 62 STREET,140,0,13,10065,-73.9605992,3,0,EAST 62 STREET,0,10,40.761485799999996,26,MANHATTAN,,11,14,18,3,2,0,16
0,DELANCEY STREET,140,0,20,10002,-73.9903644,9,0,DELANCEY STREET,0,3,40.719203799999995,32,MANHATTAN,,10,11,16,5,5,0,206
0,EAST 14 STREET,140,0,9,10009,-73.9825546,5,0,EAST 14 STREET,0,22,40.7313511,36,MANHATTAN,,8,14,20,3,2,0,811
0,WEST 46 STREET,138,0,1,10036,-73.9879256,1,0,WEST 46 STREET,0,7,40.7597902,9,MANHATTAN,,6,6,10,5,5,0,25
0,WEST 33 STREET,138,0,4,10001,-73.99111059999998,3,0,WEST 33 STREET,0,15,40.7503184,22,MANHATTAN,,11,12,12,6,6,0,375
0,FLATBUSH AVENUE EXTENSION,138,0,41,11201,-73.9833217,2,0,FLATBUSH AVENUE EXTENSION,0,13,40.6936492,56,BROOKLYN,,1,1,1,1,1,0,0
0,WEST 44 STREET,138,0,6,10036,-73.986013,5,0,WEST 44 STREET,0,7,40.75733889999999,18,MANHATTAN,,8,9,11,5,9,0,282
0,WOODHAVEN BOULEVARD,137,2,37,11421,-73.85216390000002,3,0,WOODHAVEN BOULEVARD,2,12,40.6936625,52,QUEENS,,0,0,1,0,0,0,0
0,65 STREET,136,1,20,11220,-74.0147538,1,0,65 STREET,1,3,40.6339615,24,BROOKLYN,,1,1,3,2,1,0,0
0,WEST 39 STREET,134,0,14,10018,-73.99685240000002,0,0,WEST 39 STREET,0,2,40.75773220000001,16,MANHATTAN,,0,0,0,0,0,0,0
0,GUY R BREWER BOULEVARD,134,2,82,11434,-73.7673526,0,1,GUY R BREWER BOULEVARD,1,0,40.656160299999996,82,QUEENS,,0,0,0,0,0,0,0
0,WEST 57 STREET,134,0,7,10019,-73.9857147,3,0,WEST 57 STREET,0,15,40.76791710000001,25,MANHATTAN,,6,6,11,2,2,0,0
0,23 AVENUE,134,0,30,11370,-73.88755429999998,0,0,82 STREET,0,0,40.766359,30,QUEENS,,0,0,0,0,0,0,0
0,GRAND AVENUE,134,0,13,11378,-73.8953397,0,0,GRAND AVENUE,0,10,40.72591970000001,23,QUEENS,,1,0,3,0,3,0,0
0,EAST 42 STREET,133,0,17,10017,-73.9776766,1,0,EAST 42 STREET,0,7,40.752119799999996,25,MANHATTAN,,11,20,20,7,2,34,7176
0,EAST 58 STREET,133,0,7,10022,-73.96699609999997,1,0,EAST 58 STREET,0,6,40.7609059,14,MANHATTAN,,7,6,11,3,11,0,0
0,WEST 14 STREET,133,0,12,10011,-73.9996824,3,0,WEST 14 STREET,0,14,40.738552,29,MANHATTAN,,6,10,17,3,2,0,2
0,LINDEN BOULEVARD,132,0,49,11212,-73.90692290000001,3,0,LINDEN BOULEVARD,0,4,40.6547385,56,BROOKLYN,,0,0,0,0,0,0,0
0,QUEENS BOULEVARD,131,1,25,11101,-73.9261524,2,1,QUEENS BOULEVARD,0,5,40.744028799999995,32,QUEENS,,1,0,1,1,1,0,0
0,EAST 23 STREET,131,0,8,10010,-73.9809038,11,0,EAST 23 STREET,0,8,40.737886100000004,27,MANHATTAN,,3,4,9,1,2,0,1327
0,CHEROKEE PLACE,130,0,27,10075,-73.9489716,0,0,,0,0,40.76887720000001,27,NEW,,0,0,0,0,0,0,0
0,EAST 23 STREET,130,0,2,10010,-73.9831481,8,0,EAST 23 STREET,0,13,40.7388307,23,MANHATTAN,,8,8,13,8,4,0,0
0,FLATBUSH AVENUE EXTENSION,130,0,20,11201,-73.9809286,2,0,FLATBUSH AVENUE EXTENSION,0,13,40.68890310000001,35,BROOKLYN,,2,6,11,2,1,0,61
0,EAST 62 STREET,130,0,5,10065,-73.96297390000002,0,0,EAST 62 STREET,0,8,40.762488399999995,13,MANHATTAN,,2,0,5,1,5,0,67
0,ADAM CLAYTON POWELL BOULEVARD,130,0,36,10027,-73.9483252,5,0,ADAM CLAYTON POWELL JR BOULEVARD,0,17,40.8089731,58,MANHATTAN,,1,2,3,2,2,0,208
0,WEST 48 STREET,129,0,1,10019,-73.98417509999999,0,0,WEST 48 STREET,0,4,40.7598419,5,MANHATTAN,,12,12,13,9,6,0,3155
0,FLATBUSH AVENUE EXTENSION,129,0,19,11201,-73.9814728,1,0,FLATBUSH AVENUE EXTENSION,0,7,40.6899325,27,BROOKLYN,,1,2,7,2,1,0,35
0,PENNSYLVANIA AVENUE,129,0,19,11207,-73.897226,2,0,PENNSYLVANIA AVENUE,0,6,40.6772073,27,BROOKLYN,,0,0,0,0,0,0,8
0,WEST 125 STREET,129,1,17,10027,-73.95829470000002,4,0,WEST 125 STREET,1,5,40.8156907,26,MANHATTAN,,3,2,9,2,1,0,0
0,WEST 57 STREET,128,0,4,10019,-73.9828775,2,0,WEST 57 STREET,0,12,40.7667145,18,MANHATTAN,,3,5,9,3,5,0,5382
0,OCEAN PARKWAY,128,0,26,11230,-73.9721609,4,0,OCEAN PARKWAY,0,11,40.633111,41,BROOKLYN,,0,0,0,0,0,0,0
0,WEST SIDE HIGHWAY,128,0,7,10007,-74.0133505,0,0,MURRAY STREET,0,12,40.715234499999994,19,MANHATTAN,,0,0,0,0,0,0,0
0,FLATBUSH AVENUE,128,2,20,11234,-73.92249759999999,0,2,FLATBUSH AVENUE,0,12,40.60980960000001,32,BROOKLYN,,1,2,3,0,1,0,0
0,HYLAN BOULEVARD,127,0,18,10306,-74.10976190000002,2,0,HYLAN BOULEVARD,0,9,40.57046679999999,29,STATEN ISLAND,,1,1,3,1,2,0,1
0,VANDERBILT AVENUE,127,0,38,11238,-73.9675328,9,0,VANDERBILT AVENUE,0,5,40.68176920000001,52,BROOKLYN,,0,0,2,0,2,0,0
0,LEXINGTON AVENUE,126,0,19,10035,-73.9374202,2,0,LEXINGTON AVENUE,0,24,40.804375799999995,45,MANHATTAN,,1,2,9,2,3,0,0
0,ATLANTIC AVENUE,126,0,70,11207,-73.8987786,0,0,ATLANTIC AVENUE,0,3,40.6756249,73,BROOKLYN,,0,0,1,0,1,0,0
0,ATLANTIC AVENUE,126,0,11,11201,-73.9907077,2,0,ATLANTIC AVENUE,0,2,40.6891376,15,BROOKLYN,,0,0,1,0,3,15,0
0,QUEENS BOULEVARD,126,0,38,11377,-73.8996069,3,0,QUEENS BOULEVARD,0,7,40.7408961,48,QUEENS,,0,0,0,0,0,0,0
0,WEST 34 STREET,126,0,7,10001,-73.99630400000002,4,0,WEST 34 STREET,0,10,40.75338729999999,21,MANHATTAN,,8,8,12,4,3,0,13
0,TILLARY STREET,126,0,7,11201,-73.983213,0,0,TILLARY STREET,0,3,40.695993200000004,10,BROOKLYN,,2,1,1,1,3,0,0
0,FLUSHING AVENUE,125,0,10,11249,-73.96189890000002,1,0,FLUSHING AVENUE,0,1,40.69818950000001,12,BROOKLYN,,1,1,1,1,1,0,0
0,EAST 61 STREET,125,0,4,10065,-73.9634255,0,0,EAST 61 STREET,0,8,40.761857299999996,12,MANHATTAN,,4,6,9,2,7,0,74
0,WEST 40 STREET,125,0,8,10018,-73.9935606,2,0,WEST 40 STREET,0,7,40.75714470000001,17,MANHATTAN,,10,12,20,2,3,0,21
0,EAST HOUSTON STREET,124,0,5,10002,-73.98863940000003,5,0,EAST HOUSTON STREET,0,5,40.72293370000001,15,MANHATTAN,,12,18,17,7,5,0,15
0,GRAND CENTRAL PARKWAY,124,0,46,11370,-73.8890253,0,0,,0,1,40.7666318,47,QUEENS,,0,1,1,0,0,0,0
0,NORTHERN BOULEVARD,123,1,7,11354,-73.823484,3,0,NORTHERN BOULEVARD,1,22,40.764651,32,QUEENS,PARKING LOT RITE AID NORTHERN BLVD,0,0,1,1,1,0,68
0,EASTERN PARKWAY,123,0,36,11233,-73.9199662,0,0,EASTERN PARKWAY,0,7,40.6694768,43,BROOKLYN,,0,0,1,0,0,0,0
0,WEST FORDHAM ROAD,122,0,37,10468,-73.9090397,2,0,WEST FORDHAM ROAD,0,8,40.862679299999996,47,BRONX,,0,0,1,0,0,0,27
0,EAST HOUSTON STREET,122,0,13,10002,-73.991024,8,0,EAST HOUSTON STREET,0,7,40.723650299999996,28,MANHATTAN,,3,3,3,1,2,0,71987
0,SOUTH CONDUIT BOULEVARD,121,0,14,11434,-73.7671284,0,0,SOUTH CONDUIT BOULEVARD,0,1,40.6666971,15,QUEENS,,0,0,0,0,0,0,0
0,NORTHERN BOULEVARD,121,0,37,11362,-73.7567868,1,0,,0,1,40.7621739,39,QUEENS,,0,0,0,0,0,0,0
0,ATLANTIC AVENUE,121,0,51,11233,-73.910927,0,0,ROCKAWAY AVENUE,0,7,40.676343100000004,58,BROOKLYN,,1,1,1,1,0,0,894
0,PROVOST AVENUE,121,0,16,10475,-73.827914,0,0,PROVOST AVENUE,0,7,40.8859908,23,BRONX,,0,0,2,0,0,0,0
0,EASTERN PARKWAY,121,0,38,11216,-73.95527120000001,2,0,EASTERN PARKWAY,0,6,40.6701245,46,BROOKLYN,,0,1,0,0,0,0,0
0,HUNTERS POINT AVENUE,120,0,39,11101,-73.9345761,1,0,HUNTERS POINT AVENUE,0,0,40.7396752,40,QUEENS,,0,0,0,0,0,0,0
0,WOODHAVEN BOULEVARD,120,0,22,11385,-73.8552926,2,0,WOODHAVEN BOULEVARD,0,2,40.70259520000001,26,QUEENS,,1,0,1,0,1,0,0
