OBJECTID,RecNum,FIRST_Year,FIRST_Boro,FIRST_CB,FIRST_Main,FIRST_From,FIRST_ToSt,FIRST_NumO,FIRST_NrSc,FIRST_Othe,FIRST_Inst,FIRST_Nu_1,FIRST_ReIn,FIRST_SchP,FIRST_Orde,FIRST_Or_1,FIRST_Or_2,FIRST_RecN,Shape_Leng,CRASHES 3,CRASHES -3,CRASHES 6,CRASHES -6,3 MONTH PERCENT DECREASE,6 MONTH PERCENT DECREASE,STREETS,LATLON,CRASHES TOTAL 3,CRASHES TOTAL 6,CRASHES TOTAL -3,CRASHES TOTAL -6,3 MONTH PERCENT DECREASE PLUS,6 MONTH PERCENT DECREASE PLUS
64,64,2014,3,3,SKILLMAN STREET,WILLOUGHBY AVENUE,FLUSHING AVENUE,1,0,1,11/15/2013,0,,N/S,C-318958 / 318957 / 318956,04/23/2013,11/18/2013,0,790.2468127980002,2.0,2.0,4.0,6.0,0.0,0.3333333333333333,SKILLMAN STREET+FLUSHING AVENUE,"(40.70474189999999, -73.9293081)",98472.0,102740.0,50189.0,49957.0,0.0,0.3333333333333334
63,63,2014,3,7,41 STREET,7 AVENUE,6 AVENUE,2,0,2,12/02/2013,2,05/20/2014,SUNSET PARK,C-317777,04/11/2013,12/05/2013,0,781.342042642,2.0,1.0,3.0,1.0,-1.0,-2.0,41 STREET+6 AVENUE,"(40.7208925, -74.00527330000001)",98574.0,102328.0,51385.0,49190.0,-1.0,-1.9999999999999996
62,62,2014,3,6,15 STREET,5 AVENUE,4 AVENUE,1,0,1,07/11/2013,0,,N/S,C-317785,04/11/2013,09/12/2013,0,795.5257610589999,2.0,3.0,2.0,6.0,0.3333333333333333,0.6666666666666666,15 STREET+4 AVENUE,"(40.6840335, -73.9784573)",100467.0,99438.0,52286.0,49636.0,0.3333333333333333,0.6666666666666667
61,61,2014,2,7,PERRY AVENUE,EAST 204th STREET,EAST GUN HILL ROAD,3,0,3,04/10/2014,0,,N/S,B-335178 / 335179 / 335180,03/27/2014,05/02/2014,0,2505.14916607,4.0,3.0,5.0,4.0,-0.3333333333333333,-0.25,PERRY AVENUE+EAST GUN HILL ROAD,"(40.8961855, -73.84112089999999)",103153.0,99193.0,48292.0,51835.0,-0.3333333333333334,-0.2500000000000001
60,60,2014,2,7,EAST 205th STREET,DECATUR AVENUE,HULL AVENUE,1,0,1,04/16/2014,0,,N/S,B-335146,03/26/2014,04/19/2014,0,261.053376388,0.0,0.0,0.0,0.0,0.0,0.0,EAST 205th STREET+HULL AVENUE,"(40.875254, -73.875592)",103273.0,99105.0,48479.0,51981.0,0.0,0.0
59,59,2014,2,7,EAST 209th STREET,DECATUR AVENUE,HULL AVENUE,1,0,1,04/18/2014,0,,N/S,B-335145,03/26/2014,04/26/2014,0,260.126266244,0.0,0.0,0.0,0.0,0.0,0.0,EAST 209th STREET+HULL AVENUE,"(40.875254, -73.875592)",103413.0,99222.0,48520.0,52115.0,0.0,0.0
58,58,2014,2,7,HULL AVENUE,EAST GUN HILL ROAD,EAST 205th STREET,2,0,2,04/11/2014,0,1 TBI,PS 56,B-335064 / 335066 / 335065,03/25/2014,4/21/2014 [2],0,2060.62331268,0.0,0.0,0.0,0.0,0.0,0.0,HULL AVENUE+EAST 205th STREET,"(40.8753984, -73.88341)",103165.0,99335.0,48470.0,51797.0,0.0,0.0
57,57,2014,2,7,PARKSIDE PLACE,EAST 209th STREET,EAST 207th STREET,1,0,1,04/21/2014,0,,N/S,B-335069,03/25/2014,04/26/2014,0,530.124593098,0.0,0.0,0.0,0.0,0.0,0.0,PARKSIDE PLACE+EAST 207th STREET,"(40.8755134, -73.8764848)",103801.0,98921.0,48032.0,52369.0,0.0,0.0
56,56,2014,2,7,DECATUR AVENUE,EAST 209th STREET,EAST GUN HILL ROAD,2,2,0,04/14/2014,0,,CHILD CARE CENTER,B-335068,03/25/2014,04/19/2014,0,901.159930755,2.0,4.0,4.0,11.0,0.5,0.6363636363636364,DECATUR AVENUE+EAST GUN HILL ROAD,"(40.8961855, -73.84112089999999)",103274.0,99399.0,48623.0,52001.0,0.5,0.6363636363636362
55,55,2014,2,7,DECATUR AVENUE,EAST 204th STREET,EAST 205th STREET,1,0,1,04/16/2014,0,,N/S,B-335067,03/25/2014,04/19/2014,0,727.0375645339999,0.0,0.0,0.0,0.0,0.0,0.0,DECATUR AVENUE+EAST 205th STREET,"(40.8753984, -73.88341)",103273.0,99105.0,48479.0,51981.0,0.0,0.0
54,54,2014,2,7,TRYON AVENUE,EAST GUN HILL ROAD,RESERVOIR OVAL W.,1,0,1,04/21/2014,0,,N/S,B-335070 / 335071,03/25/2014,04/26/2014,0,411.467559058,0.0,0.0,0.0,0.0,0.0,0.0,TRYON AVENUE+RESERVOIR OVAL W.,"(40.8788433, -73.8779612)",103801.0,98921.0,48032.0,52369.0,0.0,0.0
53,53,2014,2,11,HOLLAND AVENUE,RHINELANDER AVENUE,MORRIS PARK AVENUE,2,2,0,04/07/2014,0,,BRONX CHARTER SCHOOL FOR EXCELLENCE,B-334976,03/24/2014,04/10/2014,0,832.818748207,3.0,0.0,4.0,4.0,-3.0,0.0,HOLLAND AVENUE+MORRIS PARK AVENUE,"(40.8465625, -73.85969539999999)",103322.0,99197.0,48404.0,52023.0,-3.0,0.0
52,52,2014,2,7,PERRY AVENUE,HOLT PLACE,EAST 209th STREET,1,0,1,04/09/2014,0,,N/S,B-334764,03/19/2014,04/10/2014,0,350.98318040199996,0.0,0.0,0.0,0.0,0.0,0.0,PERRY AVENUE+EAST 209th STREET,"(40.876787, -73.874448)",103157.0,99154.0,48364.0,51885.0,0.0,0.0
51,51,2014,2,12,WILDER AVENUE,STRANG AVENUE,EDENWALD AVENUE,1,0,1,03/20/2014,0,,N/S,B-332356 / 332361,01/24/2014,03/22/2014,0,1039.85601926,1.0,1.0,2.0,1.0,0.0,-1.0,WILDER AVENUE+EDENWALD AVENUE,"(40.8914117, -73.8504379)",102188.0,99765.0,47177.0,50594.0,0.0,-1.0
50,50,2014,2,12,SOUTH OAK DRIVE,BRONXWOOD AV.,BARNES AVENUE,1,0,1,03/20/2014,0,,N/S,B-332355 / 332362,01/24/2014,03/22/2014,0,519.356241564,0.0,3.0,1.0,3.0,1.0,0.6666666666666666,SOUTH OAK DRIVE+BARNES AVENUE,"(40.8768665, -73.8616725)",102188.0,99765.0,47177.0,50594.0,1.0,0.6666666666666666
49,49,2014,2,11,WOODHULL AVENUE,HAWTHORNE STREET,FIELDING STREET,1,0,1,03/24/2014,0,,N/S,B-332350 / 332354,01/24/2014,03/25/2014,0,273.635438454,0.0,0.0,0.0,0.0,0.0,0.0,WOODHULL AVENUE+FIELDING STREET,"(40.8635387, -73.8417386)",102703.0,99498.0,46989.0,51202.0,0.0,0.0
48,48,2014,2,8,GOUVERNEUR AVENUE,SEDGWICK AVENUE,VAN CORTLANDT PARK SOUTH,2,2,0,04/03/2014,0,,PS 95,B-332369,01/24/2014,04/09/2014,0,954.070942642,2.0,0.0,3.0,1.0,-2.0,-2.0,GOUVERNEUR AVENUE+VAN CORTLANDT PARK SOUTH,"(40.8854665, -73.8937073)",103113.0,99044.0,47873.0,51976.0,-2.0,-2.0000000000000004
